"","week_end","location","weekly_percent"
"1","2023-10-07","El Paso",0.0052819414703783
"2","2023-10-14","El Paso",0.00354138999557326
"3","2023-10-21","El Paso",0.00507246376811594
"4","2023-10-28","El Paso",0.00702740688685875
"5","2023-11-04","El Paso",0.00711278850341124
"6","2023-11-11","El Paso",0.0108612317914643
"7","2023-11-18","El Paso",0.0160010240655402
"8","2023-11-25","El Paso",0.0144845214427719
"9","2023-12-02","El Paso",0.0191644308164048
"10","2023-12-09","El Paso",0.0464716006884682
"11","2023-12-16","El Paso",0.0997167138810198
"12","2023-12-23","El Paso",0.121654760635462
"13","2023-12-30","El Paso",0.0952043467989605
"14","2024-01-06","El Paso",0.0610382934978155
"15","2024-01-13","El Paso",0.0430486944248412
"16","2024-01-20","El Paso",0.0310742030538441
"17","2024-01-27","El Paso",0.0358134002907361
"18","2024-02-03","El Paso",0.0339481422079658
"19","2024-02-10","El Paso",0.0340879178731245
"20","2024-02-17","El Paso",0.0402372968790302
"21","2024-02-24","El Paso",0.0474246608236283
"22","2024-03-02","El Paso",0.0432645034414946
"23","2024-03-09","El Paso",0.0335438042620363
"24","2024-03-16","El Paso",0.0263157894736842
"25","2024-03-23","El Paso",0.019732485763475
"26","2024-03-30","El Paso",0.0153452685421995
"27","2024-04-06","El Paso",0.0119768360094762
"28","2024-04-13","El Paso",0.010048956454522
"29","2024-04-20","El Paso",0.00998520710059172
"30","2024-04-27","El Paso",0.00819465456379223
"31","2024-05-04","El Paso",0.00882278800100832
"32","2024-05-11","El Paso",0.00630563798219585
"33","2024-05-18","El Paso",0.007217125382263
"34","2024-05-25","El Paso",0.00482613537928474
"35","2024-06-01","El Paso",0.00418358557893442
"36","2024-06-08","El Paso",0.00333910462527826
"37","2024-06-15","El Paso",0.001899214991137
"38","2024-06-22","El Paso",0.00229172283634403
"39","2024-06-29","El Paso",0.00224897473210742
"40","2024-07-06","El Paso",0.00148208030180544
"41","2024-07-13","El Paso",0.00292087095061073
"42","2024-07-20","El Paso",0.00161507402422611
"43","2024-07-27","El Paso",0.00165768752590137
"44","2024-08-03","El Paso",0.00198544010589014
"45","2024-08-10","El Paso",0.00257003341043434
"46","2024-08-17","El Paso",0.00158517253993415
"47","2024-08-24","El Paso",0.00204769934955432
"48","2024-08-31","El Paso",0.00138486717864787
"49","2024-09-07","El Paso",0.00153944836433611
"50","2024-09-14","El Paso",0.00293442204644042
"51","2024-09-21","El Paso",0.0026782298176253
"52","2024-09-28","El Paso",0.0014014524143203
"53","2024-10-05","El Paso",0.00232621784345922
"54","2024-10-12","El Paso",0.00226725237352983
"55","2024-10-19","El Paso",0.00305004852349924
"56","2024-10-26","El Paso",0.0033103813559322
"57","2024-11-02","El Paso",0.00663198959687906
"58","2024-11-09","El Paso",0.00533090625406319
"59","2024-11-16","El Paso",0.00553389510753364
"60","2024-11-23","El Paso",0.00740368929602209
"61","2024-11-30","El Paso",0.0124033075486796
"62","2024-12-07","El Paso",0.0114285714285714
"63","2024-12-14","El Paso",0.0139395518499218
"64","2024-12-21","El Paso",0.0308774439675727
"65","2024-12-28","El Paso",0.0727438054103205
"66","2025-01-04","El Paso",0.0702813409507384
"67","2025-01-11","El Paso",0.0718189907207322
"68","2025-01-18","El Paso",0.0582663949166767
"69","2025-01-25","El Paso",0.06541822721598
"70","2025-02-01","El Paso",0.0620196604110813
"71","2023-10-07","Houston",0.00457180106058737
"72","2023-10-14","Houston",0.00550767109119117
"73","2023-10-21","Houston",0.00753332372954605
"74","2023-10-28","Houston",0.0110816268629316
"75","2023-11-04","Houston",0.0169572258740593
"76","2023-11-11","Houston",0.0276534296028881
"77","2023-11-18","Houston",0.0337293637619893
"78","2023-11-25","Houston",0.0349711615682266
"79","2023-12-02","Houston",0.0311193917115665
"80","2023-12-09","Houston",0.044039101908938
"81","2023-12-16","Houston",0.0553238948954198
"82","2023-12-23","Houston",0.058105620602994
"83","2023-12-30","Houston",0.0454793523740222
"84","2024-01-06","Houston",0.0357561776665624
"85","2024-01-13","Houston",0.0280399410243054
"86","2024-01-20","Houston",0.0281171602645554
"87","2024-01-27","Houston",0.0312142894815492
"88","2024-02-03","Houston",0.0298969942586964
"89","2024-02-10","Houston",0.023779841411186
"90","2024-02-17","Houston",0.0163680464572784
"91","2024-02-24","Houston",0.0142192392188068
"92","2024-03-02","Houston",0.0118622927369624
"93","2024-03-09","Houston",0.0109206271734488
"94","2024-03-16","Houston",0.00782864293821484
"95","2024-03-23","Houston",0.00594330055994004
"96","2024-03-30","Houston",0.00583984427081944
"97","2024-04-06","Houston",0.00457068516912402
"98","2024-04-13","Houston",0.00385503641854681
"99","2024-04-20","Houston",0.00318618980587844
"100","2024-04-27","Houston",0.00260715491056362
"101","2024-05-04","Houston",0.00232000348872705
"102","2024-05-11","Houston",0.00246938551911878
"103","2024-05-18","Houston",0.0022319697348351
"104","2024-05-25","Houston",0.00182316185911153
"105","2024-06-01","Houston",0.00202652389884347
"106","2024-06-08","Houston",0.00145184434878028
"107","2024-06-15","Houston",0.00115647241898315
"108","2024-06-22","Houston",0.00131422196168901
"109","2024-06-29","Houston",0.00125125566149129
"110","2024-07-06","Houston",0.0016326691189488
"111","2024-07-13","Houston",0.00147852443261625
"112","2024-07-20","Houston",0.00113577697470315
"113","2024-07-27","Houston",0.00162682256324599
"114","2024-08-03","Houston",0.00141229719497358
"115","2024-08-10","Houston",0.00129596903138938
"116","2024-08-17","Houston",0.00138615367711071
"117","2024-08-24","Houston",0.00176807157415669
"118","2024-08-31","Houston",0.00198330447787884
"119","2024-09-07","Houston",0.00207631823639334
"120","2024-09-14","Houston",0.0021457476666014
"121","2024-09-21","Houston",0.00231265859377509
"122","2024-09-28","Houston",0.00213297729437529
"123","2024-10-05","Houston",0.00251202122367767
"124","2024-10-12","Houston",0.00269980365064359
"125","2024-10-19","Houston",0.002568682487029
"126","2024-10-26","Houston",0.00344775518421582
"127","2024-11-02","Houston",0.00415306277806912
"128","2024-11-09","Houston",0.00607718985650196
"129","2024-11-16","Houston",0.00736450462199379
"130","2024-11-23","Houston",0.00980082200442618
"131","2024-11-30","Houston",0.0143856433016547
"132","2024-12-07","Houston",0.0127739669388944
"133","2024-12-14","Houston",0.0251599721236695
"134","2024-12-21","Houston",0.0415151397666033
"135","2024-12-28","Houston",0.0610587002096436
"136","2025-01-04","Houston",0.04552016348263
"137","2025-01-11","Houston",0.0331391326815526
"138","2025-01-18","Houston",0.0542571931884909
"139","2025-01-25","Houston",0.0694984939427918
"140","2025-02-01","Houston",0.055719530631344
"141","2023-10-07","Austin",0.00555165144061841
"142","2023-10-14","Austin",0.00427505253242519
"143","2023-10-21","Austin",0.00623745339833668
"144","2023-10-28","Austin",0.00640204865556978
"145","2023-11-04","Austin",0.00616929698708752
"146","2023-11-11","Austin",0.0102766798418972
"147","2023-11-18","Austin",0.0113759479956663
"148","2023-11-25","Austin",0.0120009231479345
"149","2023-12-02","Austin",0.0146938217605249
"150","2023-12-09","Austin",0.0232198142414861
"151","2023-12-16","Austin",0.0337846987136087
"152","2023-12-23","Austin",0.0424125033395672
"153","2023-12-30","Austin",0.0380848748639826
"154","2024-01-06","Austin",0.037016303967532
"155","2024-01-13","Austin",0.0324224833640096
"156","2024-01-20","Austin",0.0377062058130401
"157","2024-01-27","Austin",0.045619562983766
"158","2024-02-03","Austin",0.0512350127759942
"159","2024-02-10","Austin",0.0397700688456654
"160","2024-02-17","Austin",0.028793386073694
"161","2024-02-24","Austin",0.0238681968598183
"162","2024-03-02","Austin",0.0153270235909027
"163","2024-03-09","Austin",0.0131154439612849
"164","2024-03-16","Austin",0.0102055908889218
"165","2024-03-23","Austin",0.00675430314474544
"166","2024-03-30","Austin",0.00509638821183248
"167","2024-04-06","Austin",0.00519031141868512
"168","2024-04-13","Austin",0.00546369518332135
"169","2024-04-20","Austin",0.00404096704521703
"170","2024-04-27","Austin",0.00453151143335192
"171","2024-05-04","Austin",0.00267907501410039
"172","2024-05-11","Austin",0.00281893273895372
"173","2024-05-18","Austin",0.00239202657807309
"174","2024-05-25","Austin",0.0018185238602872
"175","2024-06-01","Austin",0.00155179102547524
"176","2024-06-08","Austin",0.00117401513175059
"177","2024-06-15","Austin",0.00174719440897789
"178","2024-06-22","Austin",0.00223199188366588
"179","2024-06-29","Austin",0.00182063385030344
"180","2024-07-06","Austin",0.00192280301951289
"181","2024-07-13","Austin",0.00168055929013176
"182","2024-07-20","Austin",0.002724610040188
"183","2024-07-27","Austin",0.00126635711270578
"184","2024-08-03","Austin",0.00175377060680463
"185","2024-08-10","Austin",0.00251361541684122
"186","2024-08-17","Austin",0.00154114178504422
"187","2024-08-24","Austin",0.000975165778182291
"188","2024-08-31","Austin",0.0020291942135236
"189","2024-09-07","Austin",0.00213290675198294
"190","2024-09-14","Austin",0.00214200214200214
"191","2024-09-21","Austin",0.00165553124815231
"192","2024-09-28","Austin",0.00240503206709423
"193","2024-10-05","Austin",0.00272514101020343
"194","2024-10-12","Austin",0.00236739394714953
"195","2024-10-19","Austin",0.00261617042481625
"196","2024-10-26","Austin",0.00171631727350742
"197","2024-11-02","Austin",0.00254137482179384
"198","2024-11-09","Austin",0.0018886930244271
"199","2024-11-16","Austin",0.00184218606079214
"200","2024-11-23","Austin",0.00345978005683924
"201","2024-11-30","Austin",0.00559926288184847
"202","2024-12-07","Austin",0.00625908832269078
"203","2024-12-14","Austin",0.0105919003115265
"204","2024-12-21","Austin",0.0201549449219223
"205","2024-12-28","Austin",0.0334128878281623
"206","2025-01-04","Austin",0.0312843384396613
"207","2025-01-11","Austin",0.0326982840156736
"208","2025-01-18","Austin",0.0584897688175288
"209","2025-01-25","Austin",0.0849153412006157
"210","2025-02-01","Austin",0.087747175141243
"211","2023-10-07","San Antonio",0.00243531202435312
"212","2023-10-14","San Antonio",0.00230391152979726
"213","2023-10-21","San Antonio",0.00278828918542123
"214","2023-10-28","San Antonio",0.00483401568588763
"215","2023-11-04","San Antonio",0.00699663125161959
"216","2023-11-11","San Antonio",0.00796178343949045
"217","2023-11-18","San Antonio",0.0111524163568773
"218","2023-11-25","San Antonio",0.0134447674418605
"219","2023-12-02","San Antonio",0.0174792139077853
"220","2023-12-09","San Antonio",0.0279730175951696
"221","2023-12-16","San Antonio",0.0385766871165644
"222","2023-12-23","San Antonio",0.0563541716414346
"223","2023-12-30","San Antonio",0.0539671547289276
"224","2024-01-06","San Antonio",0.051258062927766
"225","2024-01-13","San Antonio",0.050709939148073
"226","2024-01-20","San Antonio",0.0652633805796488
"227","2024-01-27","San Antonio",0.0803063658044395
"228","2024-02-03","San Antonio",0.0782388484094544
"229","2024-02-10","San Antonio",0.0605743888030537
"230","2024-02-17","San Antonio",0.0418422199622258
"231","2024-02-24","San Antonio",0.0317899761336516
"232","2024-03-02","San Antonio",0.0234492094957211
"233","2024-03-09","San Antonio",0.0197015790236129
"234","2024-03-16","San Antonio",0.0111645299145299
"235","2024-03-23","San Antonio",0.00862803579037069
"236","2024-03-30","San Antonio",0.00613839285714286
"237","2024-04-06","San Antonio",0.00404979751012449
"238","2024-04-13","San Antonio",0.0029319683943746
"239","2024-04-20","San Antonio",0.00213919705487289
"240","2024-04-27","San Antonio",0.00274753230894474
"241","2024-05-04","San Antonio",0.00192099300561521
"242","2024-05-11","San Antonio",0.0017916807902765
"243","2024-05-18","San Antonio",0.00175147928994083
"244","2024-05-25","San Antonio",0.00191065417159494
"245","2024-06-01","San Antonio",0.00254801113575237
"246","2024-06-08","San Antonio",0.00191606692214226
"247","2024-06-15","San Antonio",0.00132203887773589
"248","2024-06-22","San Antonio",0.00116668357512428
"249","2024-06-29","San Antonio",0.00101910828025478
"250","2024-07-06","San Antonio",0.00112583798167955
"251","2024-07-13","San Antonio",0.00155007750387519
"252","2024-07-20","San Antonio",0.0014863410383886
"253","2024-07-27","San Antonio",0.00139232673267327
"254","2024-08-03","San Antonio",0.000922651084115024
"255","2024-08-10","San Antonio",0.00115531444645369
"256","2024-08-17","San Antonio",0.000813504169208867
"257","2024-08-24","San Antonio",0.00143891793371385
"258","2024-08-31","San Antonio",0.00136180146880016
"259","2024-09-07","San Antonio",0.00136798905608755
"260","2024-09-14","San Antonio",0.00116578423276825
"261","2024-09-21","San Antonio",0.00105258121620975
"262","2024-09-28","San Antonio",0.00203794458731622
"263","2024-10-05","San Antonio",0.00201940599911343
"264","2024-10-12","San Antonio",0.00198088446491358
"265","2024-10-19","San Antonio",0.00303643724696356
"266","2024-10-26","San Antonio",0.00342952329626182
"267","2024-11-02","San Antonio",0.00427414144426221
"268","2024-11-09","San Antonio",0.00464883779055236
"269","2024-11-16","San Antonio",0.00569017953497498
"270","2024-11-23","San Antonio",0.007310678632651
"271","2024-11-30","San Antonio",0.0151125225866506
"272","2024-12-07","San Antonio",0.0131684358101342
"273","2024-12-14","San Antonio",0.0274227510895647
"274","2024-12-21","San Antonio",0.0457285485542055
"275","2024-12-28","San Antonio",0.0677473763118441
"276","2025-01-04","San Antonio",0.056283152607614
"277","2025-01-11","San Antonio",0.0536567629337212
"278","2025-01-18","San Antonio",0.0870781099324976
"279","2025-01-25","San Antonio",0.120555201334053
"280","2025-02-01","San Antonio",0.114295580110497
"281","2023-10-07","Dallas",0.00226701931411553
"282","2023-10-14","Dallas",0.00347222222222222
"283","2023-10-21","Dallas",0.00330670217487794
"284","2023-10-28","Dallas",0.00465665376795435
"285","2023-11-04","Dallas",0.00496191208330421
"286","2023-11-11","Dallas",0.00619031134822538
"287","2023-11-18","Dallas",0.0072525508613703
"288","2023-11-25","Dallas",0.00975781505419611
"289","2023-12-02","Dallas",0.010088664235996
"290","2023-12-09","Dallas",0.0169102424826286
"291","2023-12-16","Dallas",0.0261493726997296
"292","2023-12-23","Dallas",0.0432357611040997
"293","2023-12-30","Dallas",0.0493075161727764
"294","2024-01-06","Dallas",0.0469005873490688
"295","2024-01-13","Dallas",0.035873666055837
"296","2024-01-20","Dallas",0.0458387436607296
"297","2024-01-27","Dallas",0.0607696397170081
"298","2024-02-03","Dallas",0.0604863281633937
"299","2024-02-10","Dallas",0.0468618407860437
"300","2024-02-17","Dallas",0.0329693855705416
"301","2024-02-24","Dallas",0.027437551209059
"302","2024-03-02","Dallas",0.0177098392720469
"303","2024-03-09","Dallas",0.0132591401121593
"304","2024-03-16","Dallas",0.00920062408223201
"305","2024-03-23","Dallas",0.0068071594789152
"306","2024-03-30","Dallas",0.00653623156934703
"307","2024-04-06","Dallas",0.00525483829623617
"308","2024-04-13","Dallas",0.00400209946201286
"309","2024-04-20","Dallas",0.00317513720377652
"310","2024-04-27","Dallas",0.00269347415749401
"311","2024-05-04","Dallas",0.00225840449099864
"312","2024-05-11","Dallas",0.00225613519783752
"313","2024-05-18","Dallas",0.00193448000336431
"314","2024-05-25","Dallas",0.00182031217307612
"315","2024-06-01","Dallas",0.00224306688417618
"316","2024-06-08","Dallas",0.00156793676704326
"317","2024-06-15","Dallas",0.00152944175375988
"318","2024-06-22","Dallas",0.00108730412535977
"319","2024-06-29","Dallas",0.00133355912112104
"320","2024-07-06","Dallas",0.00106634521767351
"321","2024-07-13","Dallas",0.000871394869397037
"322","2024-07-20","Dallas",0.00104400026100007
"323","2024-07-27","Dallas",0.00100698320964953
"324","2024-08-03","Dallas",0.0011622651255892
"325","2024-08-10","Dallas",0.000913824248220168
"326","2024-08-17","Dallas",0.000924719431717876
"327","2024-08-24","Dallas",0.00123444298289993
"328","2024-08-31","Dallas",0.00143722410430141
"329","2024-09-07","Dallas",0.00172150795380257
"330","2024-09-14","Dallas",0.0015600624024961
"331","2024-09-21","Dallas",0.00150412618399122
"332","2024-09-28","Dallas",0.00129470444656691
"333","2024-10-05","Dallas",0.00146753600704417
"334","2024-10-12","Dallas",0.00162945720029626
"335","2024-10-19","Dallas",0.00122773386176148
"336","2024-10-26","Dallas",0.00190026729034414
"337","2024-11-02","Dallas",0.00166882222871209
"338","2024-11-09","Dallas",0.00191060924820746
"339","2024-11-16","Dallas",0.00234885620915033
"340","2024-11-23","Dallas",0.00269403199934192
"341","2024-11-30","Dallas",0.00437406837230897
"342","2024-12-07","Dallas",0.00657974652791837
"343","2024-12-14","Dallas",0.0120296176082767
"344","2024-12-21","Dallas",0.024939582425419
"345","2024-12-28","Dallas",0.0495349777598059
"346","2025-01-04","Dallas",0.0407043566890031
"347","2025-01-11","Dallas",0.0395628958152241
"348","2025-01-18","Dallas",0.0451890562557639
"349","2025-01-25","Dallas",0.0754112100576218
"350","2025-02-01","Dallas",0.0927557839248156
